,title,label
0,You Can Smell Hillary’s Fear,FAKE
1,Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),FAKE
2,Kerry to go to Paris in gesture of sympathy,REAL
3,Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!',FAKE
4,The Battle of New York: Why This Primary Matters,REAL
5,"Tehran, USA",FAKE
6,Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On,FAKE
7,‘Britain’s Schindler’ Dies at 106,REAL
8,Fact check: Trump and Clinton at the 'commander-in-chief' forum,REAL
9,Iran reportedly makes new push for uranium concessions in nuclear talks,REAL
10,"With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clinton’s campaign",REAL
11,Donald Trump’s Shockingly Weak Delegate Game Somehow Got Even Worse,REAL
12,"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]",FAKE
13,10 Ways America Is Preparing for World War 3,FAKE
14,"Trump takes on Cruz, but lightly",REAL
15,How women lead differently,REAL
16,Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters,FAKE
17,Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,FAKE
18,What's in that Iran bill that Obama doesn't like?,REAL
19,The 1 chart that explains everything you need to know about partisanship in America,REAL
20,The slippery slope to Trump’s proposed ban on Muslims,REAL
21,Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J,FAKE
22,Hillary Clinton Makes A Bipartisan Appeal on Staten Island,REAL
23,New Senate majority leader’s main goal for GOP: Don’t be scary,REAL
24,‘Inferno’ and the Overpopulation Myth,FAKE
25,Anti-Trump forces seek last-ditch delegate revolt,REAL
26,Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?,REAL
27,Donald Trump Is Changing His Campaign Slogan to Prove He’s Not Racist,REAL
28,Pure chaos: Donald Trump’s campaign management offers a glimpse into his governing style (spoiler alert: it’s terrible),REAL
29,"Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",FAKE
30,GOP insiders: Carly crushed it,REAL
31,Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO],FAKE
32,Why It’s Necessary To Relax Into A Stretch,FAKE
33,"Brexit Encourages UK to Trade With Non-EU States, Including Russia",FAKE
34,"2016 interview with Socrates: Another day of Life in the Empire! Are we near an endgame, or fools to ever ‘hope for change’? (6 of ?)",FAKE
35,Mike Pence Drapes Shawl Over Immodest Lady Justice Statue - The Onion - America's Finest News Source,FAKE
36,First Ever Hindu Woman Elected into Congress,FAKE
37,Donald Groped Hillary in 2005! Trump and Weiner Sext Each Other!,FAKE
38,Ex-Assistant FBI Director: Clintons Are a Crime Family,FAKE
39,Hillary Wants Aggressively Interventionist Foreign Policy,FAKE
40,Both parties want to craft populist messages for 2016,REAL
41,First Take: Wall Street bids goodbye to June hike,REAL
42,Real Disclosure! Secret Alien Base Found In Moon's Tycho Crater,FAKE
43,Homeless Woman Protects Trump’s Walk of Fame Star From Violent Leftists,FAKE
44,"With 3:20 a.m. tweet storm Saturday, Clinton continues to mock Trump’s Friday ‘meltdown’",REAL
45,220 ‘Significant’ Pipeline Spills Already This Year Exposes Troubling Safety Record,FAKE
46,Obama makes the right call to tough it out in Afghanistan,REAL
47,Senate race rankings: Dems attack as GOP lays swing-state groundwork,REAL
48,‘He didn’t know the boy didn’t want to be raped’ – court throws out Muslim migrant child sex charge and Germans are in shock,FAKE
49,Pieczenik “Rogue FBI Agents and Wikileaks are Spearheading a Movement to Stop the Clintons from Stealing the White House” – TruthFeed,FAKE
50,American politics has reached peak polarization,REAL
51,Anti-Muhammad cartoon contest: Free speech or deliberately provocative? (+video),REAL
52,"3 Effects of Substance Abuse on Individual, Family and Community",FAKE
53,Tree Shaped Vertical Farms That Grow 24 Acres Of Urban Crops,FAKE
54,New Comment Features have been Added,FAKE
55,World's newspapers react to 'Hebdo' attack,REAL
56,Ying and Yang (the Gold and Silver Set-Up),FAKE
57,"Closed primaries, 'warped' democracy?",REAL
58,Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protestors,FAKE
59,Donald Trump: Hillary Clinton has 'caused tremendous death',REAL
60,Detroit women’s Halloween decorations depict ‘real-life horrors’ … such as shootings police by police,FAKE
61,Biden makes another surprise political stop,REAL
62,"Hillary Clinton's declining favorability numbers, in context",REAL
63,Comment on Quid Pro Quo? Wikileaks Email Reveals Clinton Campaign Eyeing Paul Ryan’s Relative for Supreme Court by lenore.lee,FAKE
64,Hillary Clinton: The criminal investigation keeps moving forward,REAL
65,Rubio’s parting shot at Trump,REAL
66,Loretta Lynch becomes first African-American woman AG.,REAL
67,Why it's funny Republicans are upset with Facebook: Column,REAL
68,FBI checking if Orlando shooter's wife knew attack plan but didn't warn police,REAL
69,Is google and YouTube in the Hillary's purse?,FAKE
70,Handicapping the Hispanic vote for 2016 GOPers,REAL
71,Truth Will Out Radio: The Laconia Incident,FAKE
72,GOP establishment nightmare? Ted Cruz vs. Donald Trump,REAL
73,Bernie Sanders lost poor voters in South Carolina by a big margin — a problem for his political revolution,REAL
74,Should I Get Botox?,FAKE
75,Jeb Bush Picks Up Endorsement From Lindsey Graham,REAL
76,"2016 Republican race enters a new, volatile phase",REAL
77,"‘Hands up, don’t shoot’ was built on a lie",REAL
78,Lavrov and Kerry discuss Syrian settlement,FAKE
79,BREAKING : DOJ Says They Will “HELP” Review the 650K Emails – TruthFeed,FAKE
80,Bernie Sanders' call for ouster of two convention co-chairs rejected,REAL
81,Five Reasons the New York Democratic Primary Felt Competitive,REAL
82,"To get around Congress, Obama turns to city halls",REAL
83,Celebrity Deathmatch: Darkmoon Sages Make Their Final Predictions on US Election,FAKE
84,John Kerry: ISIS responsible for genocide,REAL
85,Mitt Romney's Re-Invention As Anti-Poverty Warrior,REAL
86,King: Fill the Supreme Court vacancy,REAL
87,"Ted Cruz is toast: It’s not just that he won’t be president — his days in the Senate are numbered, too",REAL
88,Obama’s speech in Selma was an answer to those who question his love for America,REAL
89,Where Does Bernie Sanders Go From Here?,REAL
90,Exclusive: GOP campaigns plot revolt against RNC,REAL
91,Revelation Unleashed: Unlocking The Mysteries Of The Bible’s Most Mysterious Book,FAKE
92,Silent Counter-Coup by 17 Intel Agencies To Stop Crooked Clintons [Video],FAKE
93,"Why Hillary Clinton, not Bernie Sanders, 'won' town hall",REAL
94,French police hunt two brothers accused of Charlie Hebdo terror attack,REAL
95,"The Mandela Effect was made by one overlooked 33 year old man, an ascended master (video and proof)",FAKE
96,CNN: One voter can make a difference by voting repeatedly,FAKE
97,Give Social Security recipients a CEO-style raise,REAL
98,"Fireworks erupt between Trump and Bush, Rubio and Cruz at GOP debate",REAL
99,"Obama, sounding like his critics, admits no 'complete strategy' for Iraq",REAL
