Date,Close
2014-01-02,556.0
2014-01-03,551.95
2014-01-04,
2014-01-05,
2014-01-06,558.1
2014-01-07,568.86
2014-01-08,570.04
2014-01-09,564.55
2014-01-10,564.52
2014-01-11,
2014-01-12,
2014-01-13,560.93
2014-01-14,574.13
2014-01-15,573.74
2014-01-16,577.53
2014-01-17,574.69
2014-01-18,
2014-01-19,
2014-01-20,
2014-01-21,581.27
2014-01-22,581.93
2014-01-23,579.47
2014-01-24,561.35
2014-01-25,
2014-01-26,
2014-01-27,550.06
2014-01-28,560.94
2014-01-29,552.91
2014-01-30,567.13
2014-01-31,589.89
2014-02-01,
2014-02-02,
2014-02-03,566.15
2014-02-04,568.51
2014-02-05,571.03
2014-02-06,579.4
2014-02-07,588.13
2014-02-08,
2014-02-09,
2014-02-10,585.88
2014-02-11,594.49
2014-02-12,592.75
2014-02-13,599.35
2014-02-14,600.8
2014-02-15,
2014-02-16,
2014-02-17,
2014-02-18,604.83
2014-02-19,600.57
2014-02-20,601.45
2014-02-21,601.29
2014-02-22,
2014-02-23,
2014-02-24,605.65
2014-02-25,609.39
2014-02-26,609.47
2014-02-27,609.0
2014-02-28,607.22
2014-03-01,
2014-03-02,
2014-03-03,600.74
2014-03-04,606.85
2014-03-05,608.52
2014-03-06,609.2
2014-03-07,606.79
2014-03-08,
2014-03-09,
2014-03-10,605.18
2014-03-11,599.4
2014-03-12,603.05
2014-03-13,593.94
2014-03-14,585.81
2014-03-15,
2014-03-16,
2014-03-17,595.45
2014-03-18,605.02
2014-03-19,599.03
2014-03-20,597.98
2014-03-21,590.93
2014-03-22,
2014-03-23,
2014-03-24,578.39
2014-03-25,578.78
2014-03-26,565.42
2014-03-27,556.58
2014-03-28,559.51
2014-03-29,
2014-03-30,
2014-03-31,556.7
2014-04-01,566.88
2014-04-02,566.98
2014-04-03,569.74
2014-04-04,543.14
2014-04-05,
2014-04-06,
2014-04-07,538.15
2014-04-08,554.9
2014-04-09,564.14
2014-04-10,540.95
2014-04-11,530.6
2014-04-12,
2014-04-13,
2014-04-14,532.52
2014-04-15,536.44
2014-04-16,556.54
2014-04-17,536.1
2014-04-18,
2014-04-19,
2014-04-20,
2014-04-21,528.62
2014-04-22,534.81
2014-04-23,526.94
2014-04-24,525.16
2014-04-25,516.18
2014-04-26,
2014-04-27,
2014-04-28,517.15
2014-04-29,527.7
2014-04-30,526.66
2014-05-01,531.35
2014-05-02,527.93
2014-05-03,
2014-05-04,
2014-05-05,527.81
2014-05-06,515.14
2014-05-07,509.96
2014-05-08,511.0
2014-05-09,518.73
2014-05-10,
2014-05-11,
2014-05-12,529.92
2014-05-13,533.09
2014-05-14,526.65
2014-05-15,519.98
2014-05-16,520.63
2014-05-17,
2014-05-18,
2014-05-19,528.86
2014-05-20,529.77
2014-05-21,538.94
2014-05-22,545.06
2014-05-23,552.7
2014-05-24,
2014-05-25,
2014-05-26,
2014-05-27,565.95
2014-05-28,561.68
2014-05-29,560.08
2014-05-30,559.89
2014-05-31,
2014-06-01,
2014-06-02,553.93
2014-06-03,544.94
2014-06-04,544.66
2014-06-05,553.9
2014-06-06,556.33
2014-06-07,
2014-06-08,
2014-06-09,562.12
2014-06-10,560.55
2014-06-11,558.84
2014-06-12,551.35
2014-06-13,551.76
2014-06-14,
2014-06-15,
2014-06-16,544.28
2014-06-17,543.01
2014-06-18,553.37
2014-06-19,554.9
2014-06-20,556.36
2014-06-21,
2014-06-22,
2014-06-23,564.95
2014-06-24,564.62
2014-06-25,578.65
2014-06-26,576.0
2014-06-27,577.24
2014-06-28,
2014-06-29,
2014-06-30,575.28
2014-07-01,582.67
2014-07-02,582.34
2014-07-03,584.73
2014-07-04,
2014-07-05,
2014-07-06,
2014-07-07,582.25
2014-07-08,571.09
2014-07-09,576.08
2014-07-10,571.1
2014-07-11,579.18
2014-07-12,
2014-07-13,
2014-07-14,584.87
2014-07-15,584.78
2014-07-16,582.66
2014-07-17,573.73
2014-07-18,595.08
2014-07-19,
2014-07-20,
2014-07-21,589.47
2014-07-22,594.74
2014-07-23,595.98
2014-07-24,593.35
2014-07-25,589.02
2014-07-26,
2014-07-27,
2014-07-28,590.6
2014-07-29,585.61
2014-07-30,587.42
2014-07-31,571.6
2014-08-01,566.07
2014-08-02,
2014-08-03,
2014-08-04,573.15
2014-08-05,565.07
2014-08-06,566.37
2014-08-07,563.36
2014-08-08,568.77
2014-08-09,
2014-08-10,
2014-08-11,567.88
2014-08-12,562.73
2014-08-13,574.78
2014-08-14,574.65
2014-08-15,573.48
2014-08-16,
2014-08-17,
2014-08-18,582.16
2014-08-19,586.86
2014-08-20,584.49
2014-08-21,583.37
2014-08-22,582.56
2014-08-23,
2014-08-24,
2014-08-25,580.2
2014-08-26,577.86
2014-08-27,571.0
2014-08-28,569.2
2014-08-29,571.6
2014-08-30,
2014-08-31,
2014-09-01,
2014-09-02,577.33
2014-09-03,577.94
2014-09-04,581.98
2014-09-05,586.08
2014-09-06,
2014-09-07,
2014-09-08,589.72
2014-09-09,581.01
2014-09-10,583.1
2014-09-11,581.35
2014-09-12,575.62
2014-09-13,
2014-09-14,
2014-09-15,573.1
2014-09-16,579.95
2014-09-17,584.77
2014-09-18,589.27
2014-09-19,596.08
2014-09-20,
2014-09-21,
2014-09-22,587.37
2014-09-23,581.13
2014-09-24,587.99
2014-09-25,575.06
2014-09-26,577.1
2014-09-27,
2014-09-28,
2014-09-29,576.36
2014-09-30,577.36
2014-10-01,568.27
2014-10-02,570.08
2014-10-03,575.28
2014-10-04,
2014-10-05,
2014-10-06,577.35
2014-10-07,563.74
2014-10-08,572.5
2014-10-09,560.88
2014-10-10,544.49
2014-10-11,
2014-10-12,
2014-10-13,533.21
2014-10-14,537.94
2014-10-15,530.03
2014-10-16,524.51
2014-10-17,511.17
2014-10-18,
2014-10-19,
2014-10-20,520.84
2014-10-21,526.54
2014-10-22,532.71
2014-10-23,543.98
2014-10-24,539.78
2014-10-25,
2014-10-26,
2014-10-27,540.77
2014-10-28,548.9
2014-10-29,549.33
2014-10-30,550.31
2014-10-31,559.08
2014-11-01,
2014-11-02,
2014-11-03,555.22
2014-11-04,554.11
2014-11-05,545.92
2014-11-06,542.04
2014-11-07,541.01
2014-11-08,
2014-11-09,
2014-11-10,547.49
2014-11-11,550.29
2014-11-12,547.31
2014-11-13,545.38
2014-11-14,544.4
2014-11-15,
2014-11-16,
2014-11-17,536.51
2014-11-18,535.03
2014-11-19,536.99
2014-11-20,534.83
2014-11-21,537.5
2014-11-22,
2014-11-23,
2014-11-24,539.27
2014-11-25,541.08
2014-11-26,540.37
2014-11-27,
2014-11-28,541.83
2014-11-29,
2014-11-30,
2014-12-01,533.8
2014-12-02,533.75
2014-12-03,531.32
2014-12-04,537.31
2014-12-05,525.26
2014-12-06,
2014-12-07,
2014-12-08,526.98
2014-12-09,533.37
2014-12-10,526.06
2014-12-11,528.34
2014-12-12,518.66
2014-12-13,
2014-12-14,
2014-12-15,513.8
2014-12-16,495.39
2014-12-17,504.89
2014-12-18,511.1
2014-12-19,516.35
2014-12-20,
2014-12-21,
2014-12-22,524.87
2014-12-23,530.59
2014-12-24,528.77
2014-12-25,
2014-12-26,534.03
2014-12-27,
2014-12-28,
2014-12-29,530.33
2014-12-30,530.42
2014-12-31,526.4
2015-01-01,
2015-01-02,524.81
2015-01-03,
2015-01-04,
2015-01-05,513.87
2015-01-06,501.96
2015-01-07,501.1
2015-01-08,502.68
2015-01-09,496.17
2015-01-10,
2015-01-11,
2015-01-12,492.55
2015-01-13,496.18
2015-01-14,500.87
2015-01-15,501.79
2015-01-16,508.08
2015-01-17,
2015-01-18,
2015-01-19,
2015-01-20,506.9
2015-01-21,518.04
2015-01-22,534.39
2015-01-23,539.95
2015-01-24,
2015-01-25,
2015-01-26,535.21
2015-01-27,518.63
2015-01-28,510.0
2015-01-29,510.66
2015-01-30,534.52
2015-01-31,
2015-02-01,
2015-02-02,528.48
2015-02-03,529.24
2015-02-04,522.76
2015-02-05,527.58
2015-02-06,531.0
2015-02-07,
2015-02-08,
2015-02-09,527.83
2015-02-10,536.94
2015-02-11,535.97
2015-02-12,542.93
2015-02-13,549.01
2015-02-14,
2015-02-15,
2015-02-16,
2015-02-17,542.84
2015-02-18,539.7
2015-02-19,542.87
2015-02-20,538.95
2015-02-21,
2015-02-22,
2015-02-23,531.91
2015-02-24,536.09
2015-02-25,543.87
2015-02-26,555.48
2015-02-27,558.4
2015-02-28,
2015-03-01,
2015-03-02,571.34
2015-03-03,573.64
2015-03-04,573.37
2015-03-05,575.33
2015-03-06,567.68
2015-03-07,
2015-03-08,
2015-03-09,568.85
2015-03-10,555.01
2015-03-11,551.18
2015-03-12,555.51
2015-03-13,547.32
2015-03-14,
2015-03-15,
2015-03-16,554.51
2015-03-17,550.84
2015-03-18,559.5
2015-03-19,557.99
2015-03-20,560.36
2015-03-21,
2015-03-22,
2015-03-23,558.81
2015-03-24,570.19
2015-03-25,558.78
2015-03-26,555.17
2015-03-27,548.34
2015-03-28,
2015-03-29,
2015-03-30,552.03
2015-03-31,548.0
2015-04-01,542.56
2015-04-02,535.53
2015-04-03,
2015-04-04,
2015-04-05,
2015-04-06,536.76
2015-04-07,537.02
2015-04-08,541.61
2015-04-09,540.78
2015-04-10,540.01
2015-04-11,
2015-04-12,
2015-04-13,539.17
2015-04-14,530.39
2015-04-15,532.53
2015-04-16,533.8
2015-04-17,524.05
2015-04-18,
2015-04-19,
2015-04-20,535.38
2015-04-21,533.97
2015-04-22,539.36
2015-04-23,547.0
2015-04-24,565.06
2015-04-25,
2015-04-26,
2015-04-27,555.37
2015-04-28,553.68
2015-04-29,549.08
2015-04-30,537.34
2015-05-01,537.9
2015-05-02,
2015-05-03,
2015-05-04,540.78
2015-05-05,530.8
2015-05-06,524.22
2015-05-07,530.7
2015-05-08,538.22
2015-05-09,
2015-05-10,
2015-05-11,535.7
2015-05-12,529.04
2015-05-13,529.62
2015-05-14,538.4
2015-05-15,533.85
2015-05-16,
2015-05-17,
2015-05-18,532.3
2015-05-19,537.36
2015-05-20,539.27
2015-05-21,542.51
2015-05-22,540.11
2015-05-23,
2015-05-24,
2015-05-25,
2015-05-26,532.32
2015-05-27,539.79
2015-05-28,539.78
2015-05-29,532.11
2015-05-30,
2015-05-31,
2015-06-01,533.99
2015-06-02,539.18
2015-06-03,540.31
2015-06-04,536.7
2015-06-05,533.33
2015-06-06,
2015-06-07,
2015-06-08,526.83
2015-06-09,526.69
2015-06-10,536.69
2015-06-11,534.61
2015-06-12,532.33
2015-06-13,
2015-06-14,
2015-06-15,527.2
2015-06-16,528.15
2015-06-17,529.26
2015-06-18,536.73
2015-06-19,536.69
2015-06-20,
2015-06-21,
2015-06-22,538.19
2015-06-23,540.48
2015-06-24,537.84
2015-06-25,535.23
2015-06-26,531.69
2015-06-27,
2015-06-28,
2015-06-29,521.52
2015-06-30,520.51
2015-07-01,521.84
2015-07-02,523.4
2015-07-03,
2015-07-04,
2015-07-05,
2015-07-06,522.86
2015-07-07,525.02
2015-07-08,516.83
2015-07-09,520.68
2015-07-10,530.13
2015-07-11,
2015-07-12,
2015-07-13,546.55
2015-07-14,561.1
2015-07-15,560.22
2015-07-16,579.85
2015-07-17,672.93
2015-07-18,
2015-07-19,
2015-07-20,663.02
2015-07-21,662.3
2015-07-22,662.1
2015-07-23,644.28
2015-07-24,623.56
2015-07-25,
2015-07-26,
2015-07-27,627.26
2015-07-28,628.0
2015-07-29,631.93
2015-07-30,632.59
2015-07-31,625.61
2015-08-01,
2015-08-02,
2015-08-03,631.21
2015-08-04,629.25
2015-08-05,643.78
2015-08-06,642.68
2015-08-07,635.3
2015-08-08,
2015-08-09,
2015-08-10,633.73
2015-08-11,660.78
2015-08-12,659.56
2015-08-13,656.45
2015-08-14,657.12
2015-08-15,
2015-08-16,
2015-08-17,660.87
2015-08-18,656.13
2015-08-19,660.9
2015-08-20,646.83
2015-08-21,612.48
2015-08-22,
2015-08-23,
2015-08-24,589.61
2015-08-25,582.06
2015-08-26,628.62
2015-08-27,637.61
2015-08-28,630.38
2015-08-29,
2015-08-30,
2015-08-31,618.25
2015-09-01,597.79
2015-09-02,614.34
2015-09-03,606.25
2015-09-04,600.7
2015-09-05,
2015-09-06,
2015-09-07,
2015-09-08,614.66
2015-09-09,612.72
2015-09-10,621.35
2015-09-11,625.77
2015-09-12,
2015-09-13,
2015-09-14,623.24
2015-09-15,635.14
2015-09-16,635.98
2015-09-17,642.9
2015-09-18,629.25
2015-09-19,
2015-09-20,
2015-09-21,635.44
2015-09-22,622.69
2015-09-23,622.36
2015-09-24,625.8
2015-09-25,611.97
2015-09-26,
2015-09-27,
2015-09-28,594.89
2015-09-29,594.97
2015-09-30,608.42
2015-10-01,611.29
2015-10-02,626.91
2015-10-03,
2015-10-04,
2015-10-05,641.47
2015-10-06,645.44
2015-10-07,642.36
2015-10-08,639.16
2015-10-09,643.61
2015-10-10,
2015-10-11,
2015-10-12,646.67
2015-10-13,652.3
2015-10-14,651.16
2015-10-15,661.74
2015-10-16,662.2
2015-10-17,
2015-10-18,
2015-10-19,666.1
2015-10-20,650.28
2015-10-21,642.61
2015-10-22,651.79
2015-10-23,702.0
2015-10-24,
2015-10-25,
2015-10-26,712.78
2015-10-27,708.49
2015-10-28,712.95
2015-10-29,716.92
2015-10-30,710.81
2015-10-31,
2015-11-01,
2015-11-02,721.11
2015-11-03,722.16
2015-11-04,728.11
2015-11-05,731.25
2015-11-06,733.76
2015-11-07,
2015-11-08,
2015-11-09,724.89
2015-11-10,728.32
2015-11-11,735.4
2015-11-12,731.23
2015-11-13,717.0
2015-11-14,
2015-11-15,
2015-11-16,728.96
2015-11-17,725.3
2015-11-18,740.0
2015-11-19,738.41
2015-11-20,756.6
2015-11-21,
2015-11-22,
2015-11-23,755.98
2015-11-24,748.28
2015-11-25,748.15
2015-11-26,
2015-11-27,750.26
2015-11-28,
2015-11-29,
2015-11-30,742.6
2015-12-01,767.04
2015-12-02,762.38
2015-12-03,752.54
2015-12-04,766.81
2015-12-05,
2015-12-06,
2015-12-07,763.25
2015-12-08,762.37
2015-12-09,751.61
2015-12-10,749.46
2015-12-11,738.87
2015-12-12,
2015-12-13,
2015-12-14,747.77
2015-12-15,743.4
2015-12-16,758.09
2015-12-17,749.43
2015-12-18,739.31
2015-12-19,
2015-12-20,
2015-12-21,747.77
2015-12-22,750.0
2015-12-23,750.31
2015-12-24,748.4
2015-12-25,
2015-12-26,
2015-12-27,
2015-12-28,762.51
2015-12-29,776.6
2015-12-30,771.0
2015-12-31,758.88
2016-01-01,
2016-01-02,
2016-01-03,
2016-01-04,741.84
2016-01-05,742.58
2016-01-06,743.62
2016-01-07,726.39
2016-01-08,714.47
2016-01-09,
2016-01-10,
2016-01-11,716.03
2016-01-12,726.07
2016-01-13,700.56
2016-01-14,714.72
2016-01-15,694.45
2016-01-16,
2016-01-17,
2016-01-18,
2016-01-19,701.79
2016-01-20,698.45
2016-01-21,706.59
2016-01-22,725.25
2016-01-23,
2016-01-24,
2016-01-25,711.67
2016-01-26,713.04
2016-01-27,699.99
2016-01-28,730.96
2016-01-29,742.95
2016-01-30,
2016-01-31,
2016-02-01,752.0
2016-02-02,764.65
2016-02-03,726.95
2016-02-04,708.01
2016-02-05,683.57
2016-02-06,
2016-02-07,
2016-02-08,682.74
2016-02-09,678.11
2016-02-10,684.12
2016-02-11,683.11
2016-02-12,682.4
2016-02-13,
2016-02-14,
2016-02-15,
2016-02-16,691.0
2016-02-17,708.4
2016-02-18,697.35
2016-02-19,700.91
2016-02-20,
2016-02-21,
2016-02-22,706.46
2016-02-23,695.85
2016-02-24,699.56
2016-02-25,705.75
2016-02-26,705.07
2016-02-27,
2016-02-28,
2016-02-29,697.77
2016-03-01,718.81
2016-03-02,718.85
2016-03-03,712.42
2016-03-04,710.89
2016-03-05,
2016-03-06,
2016-03-07,695.16
2016-03-08,693.97
2016-03-09,705.24
2016-03-10,712.82
2016-03-11,726.82
2016-03-12,
2016-03-13,
2016-03-14,730.49
2016-03-15,728.33
2016-03-16,736.09
2016-03-17,737.78
2016-03-18,737.6
2016-03-19,
2016-03-20,
2016-03-21,742.09
2016-03-22,740.75
2016-03-23,738.06
2016-03-24,735.3
2016-03-25,
2016-03-26,
2016-03-27,
2016-03-28,733.53
2016-03-29,744.77
2016-03-30,750.53
2016-03-31,744.95
2016-04-01,749.91
2016-04-02,
2016-04-03,
2016-04-04,745.29
2016-04-05,737.8
2016-04-06,745.69
2016-04-07,740.28
2016-04-08,739.15
2016-04-09,
2016-04-10,
2016-04-11,736.1
2016-04-12,743.09
2016-04-13,751.72
2016-04-14,753.2
2016-04-15,759.0
2016-04-16,
2016-04-17,
2016-04-18,766.61
2016-04-19,753.93
2016-04-20,752.67
2016-04-21,759.14
2016-04-22,718.77
2016-04-23,
2016-04-24,
2016-04-25,723.15
2016-04-26,708.14
2016-04-27,705.84
2016-04-28,691.02
2016-04-29,693.01
2016-04-30,
2016-05-01,
2016-05-02,698.21
2016-05-03,692.36
2016-05-04,695.7
2016-05-05,701.43
2016-05-06,711.12
2016-05-07,
2016-05-08,
2016-05-09,712.9
2016-05-10,723.18
2016-05-11,715.29
2016-05-12,713.31
2016-05-13,710.83
2016-05-14,
2016-05-15,
2016-05-16,716.49
2016-05-17,706.23
2016-05-18,706.63
2016-05-19,700.32
2016-05-20,709.74
2016-05-21,
2016-05-22,
2016-05-23,704.24
2016-05-24,720.09
2016-05-25,725.27
2016-05-26,724.12
2016-05-27,732.66
2016-05-28,
2016-05-29,
2016-05-30,
2016-05-31,735.72
2016-06-01,734.15
2016-06-02,730.4
2016-06-03,722.34
2016-06-04,
2016-06-05,
2016-06-06,716.55
2016-06-07,716.65
2016-06-08,728.28
2016-06-09,728.58
2016-06-10,719.41
2016-06-11,
2016-06-12,
2016-06-13,718.36
2016-06-14,718.27
2016-06-15,718.92
2016-06-16,710.36
2016-06-17,691.72
2016-06-18,
2016-06-19,
2016-06-20,693.71
2016-06-21,695.94
2016-06-22,697.46
2016-06-23,701.87
2016-06-24,675.22
2016-06-25,
2016-06-26,
2016-06-27,668.26
2016-06-28,680.04
2016-06-29,684.11
2016-06-30,692.1
2016-07-01,699.21
2016-07-02,
2016-07-03,
2016-07-04,
2016-07-05,694.49
2016-07-06,697.77
2016-07-07,695.36
2016-07-08,705.63
2016-07-09,
2016-07-10,
2016-07-11,715.09
2016-07-12,720.64
2016-07-13,716.98
2016-07-14,720.95
2016-07-15,719.85
2016-07-16,
2016-07-17,
2016-07-18,733.78
2016-07-19,736.96
2016-07-20,741.19
2016-07-21,738.63
2016-07-22,742.74
2016-07-23,
2016-07-24,
2016-07-25,739.77
2016-07-26,738.42
2016-07-27,741.77
2016-07-28,745.91
2016-07-29,768.79
2016-07-30,
2016-07-31,
2016-08-01,772.88
2016-08-02,771.07
2016-08-03,773.18
2016-08-04,771.61
2016-08-05,782.22
2016-08-06,
2016-08-07,
2016-08-08,781.76
2016-08-09,784.26
2016-08-10,784.68
2016-08-11,784.85
2016-08-12,783.22
2016-08-13,
2016-08-14,
2016-08-15,782.44
2016-08-16,777.14
2016-08-17,779.91
2016-08-18,777.5
2016-08-19,775.42
2016-08-20,
2016-08-21,
2016-08-22,772.15
2016-08-23,772.08
2016-08-24,769.64
2016-08-25,769.41
2016-08-26,769.54
2016-08-27,
2016-08-28,
2016-08-29,772.15
2016-08-30,769.09
2016-08-31,767.05
2016-09-01,768.78
2016-09-02,771.46
2016-09-03,
2016-09-04,
2016-09-05,
2016-09-06,780.08
2016-09-07,780.35
2016-09-08,775.32
2016-09-09,759.66
2016-09-10,
2016-09-11,
2016-09-12,769.02
2016-09-13,759.69
2016-09-14,762.49
2016-09-15,771.76
2016-09-16,768.88
2016-09-17,
2016-09-18,
2016-09-19,765.7
2016-09-20,771.41
2016-09-21,776.22
2016-09-22,787.21
2016-09-23,786.9
2016-09-24,
2016-09-25,
2016-09-26,774.21
2016-09-27,783.01
2016-09-28,781.56
2016-09-29,775.01
2016-09-30,777.29
2016-10-01,
2016-10-02,
2016-10-03,772.56
2016-10-04,776.43
2016-10-05,776.47
2016-10-06,776.86
2016-10-07,775.08
2016-10-08,
2016-10-09,
2016-10-10,785.94
2016-10-11,783.07
2016-10-12,786.14
2016-10-13,778.19
2016-10-14,778.53
2016-10-15,
2016-10-16,
2016-10-17,779.96
2016-10-18,795.26
2016-10-19,801.56
2016-10-20,796.97
2016-10-21,799.37
2016-10-22,
2016-10-23,
2016-10-24,813.11
2016-10-25,807.67
2016-10-26,799.07
2016-10-27,795.35
2016-10-28,795.37
2016-10-29,
2016-10-30,
2016-10-31,784.54
2016-11-01,783.61
2016-11-02,768.7
2016-11-03,762.13
2016-11-04,762.02
2016-11-05,
2016-11-06,
2016-11-07,782.52
2016-11-08,790.51
2016-11-09,785.31
2016-11-10,762.56
2016-11-11,754.02
2016-11-12,
2016-11-13,
2016-11-14,736.08
2016-11-15,758.49
2016-11-16,764.48
2016-11-17,771.23
2016-11-18,760.54
2016-11-19,
2016-11-20,
2016-11-21,769.2
2016-11-22,768.27
2016-11-23,760.99
2016-11-24,
2016-11-25,761.68
2016-11-26,
2016-11-27,
2016-11-28,768.24
2016-11-29,770.84
2016-11-30,758.04
2016-12-01,747.92
2016-12-02,750.5
2016-12-03,
2016-12-04,
2016-12-05,762.52
2016-12-06,759.11
2016-12-07,771.19
2016-12-08,776.42
2016-12-09,789.29
2016-12-10,
2016-12-11,
2016-12-12,789.27
2016-12-13,796.1
2016-12-14,797.07
2016-12-15,797.85
2016-12-16,790.8
2016-12-17,
2016-12-18,
2016-12-19,794.2
2016-12-20,796.42
2016-12-21,794.56
2016-12-22,791.26
2016-12-23,789.91
2016-12-24,
2016-12-25,
2016-12-26,
2016-12-27,791.55
2016-12-28,785.05
2016-12-29,782.79
2016-12-30,771.82