party,infants,water,budget,physician,salvador,religious,satellite,aid,missile,immigration,synfuels,education,superfund,crime,duty_free_exports,eaa_rsa
democrat,0,1,1,0,1,1,0,0,0,0,0,0,1,1,1,1
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
republican,1,0,0,1,1,0,1,1,1,0,0,1,1,1,0,1
democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
democrat,1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
republican,1,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
democrat,1,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
democrat,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1
democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,1
republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
republican,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
republican,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1
republican,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1
republican,0,1,0,1,1,1,1,0,0,0,1,1,1,1,0,1
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
republican,1,1,1,1,0,0,1,1,1,1,1,0,0,1,0,1
republican,1,0,1,1,1,0,1,0,1,1,0,0,1,1,0,1
democrat,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1
democrat,0,1,1,1,1,1,0,0,0,1,1,0,1,1,0,0
democrat,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1
democrat,1,1,1,0,1,1,0,0,0,1,1,0,1,1,0,1
republican,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0,0
republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
democrat,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1
republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
democrat,0,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
democrat,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,1
democrat,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
democrat,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,1
democrat,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1
democrat,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1
democrat,1,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1
democrat,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,1
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
democrat,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
republican,1,1,1,1,1,0,1,0,0,0,0,1,1,1,0,1
democrat,0,1,1,0,0,0,0,1,1,1,1,0,0,0,1,1
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
republican,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
democrat,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1
republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
republican,0,1,0,1,1,1,0,0,0,1,1,1,1,0,0,1
democrat,0,0,1,0,0,1,1,1,1,1,0,0,0,1,0,1
democrat,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
republican,0,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1
republican,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1
republican,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,1
democrat,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,1
republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
democrat,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,1
democrat,0,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
republican,1,1,0,1,1,1,1,0,0,0,0,1,1,1,0,0
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
democrat,0,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1
democrat,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,1
democrat,0,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1
republican,0,1,0,1,1,1,1,0,0,0,0,1,1,1,0,1
republican,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1
republican,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1
democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,1,0,1
democrat,0,0,0,0,1,1,0,0,0,1,1,1,1,1,0,1
democrat,0,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
republican,0,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
democrat,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
democrat,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
democrat,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
democrat,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1
democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,1,1,1
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
democrat,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
republican,0,0,1,1,1,1,1,0,0,0,0,1,1,1,0,1
democrat,0,0,1,0,0,1,1,1,1,1,0,1,0,0,0,1
republican,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
democrat,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,1
democrat,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
democrat,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
democrat,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1
republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
democrat,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,1
republican,0,0,0,1,1,0,0,0,0,0,0,1,1,1,0,1
democrat,0,0,1,0,0,1,1,1,1,0,1,0,0,1,1,1
republican,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
republican,0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
republican,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
democrat,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1
republican,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,1
democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,1,1,1
democrat,1,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1
democrat,1,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0
democrat,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
republican,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0
democrat,0,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
republican,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,1
republican,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1
republican,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0
republican,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
democrat,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,1
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,0,0,1,0,0,1,1,1,1,1,1,0,0,0,1,1
democrat,1,1,1,0,1,1,0,1,0,1,1,0,1,1,1,1
democrat,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1
democrat,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
republican,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,1
democrat,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1
democrat,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1,1
republican,0,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1
republican,0,0,0,1,1,1,1,0,0,1,0,1,1,1,0,1
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
democrat,1,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1
republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0
democrat,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1
democrat,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1
republican,0,1,1,1,1,1,0,0,0,1,0,1,1,1,0,1
republican,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1
democrat,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0
democrat,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1
democrat,0,1,1,0,0,1,0,1,1,1,0,0,1,1,0,1
democrat,1,1,1,0,0,0,1,1,1,1,0,0,1,0,0,1
republican,0,1,0,1,1,1,0,0,0,0,1,1,1,1,0,0
democrat,1,1,0,1,0,0,1,1,1,0,1,0,0,1,0,1
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,1,1,1,0,0,0,1,1,1,0,1,0,0,0,0,1
republican,0,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0
democrat,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
democrat,1,0,1,0,0,0,1,1,1,0,0,0,0,0,1,1
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1,1
republican,1,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
republican,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1
republican,0,0,0,1,1,0,1,0,1,1,0,0,0,1,0,1
democrat,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,1
republican,0,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1
republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
republican,1,0,0,1,1,1,0,0,0,1,0,1,1,1,0,0
republican,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1
democrat,0,1,0,0,0,1,1,0,1,0,1,0,0,0,1,1
republican,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1
republican,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1
republican,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
democrat,1,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1
democrat,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1
republican,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0
republican,1,1,0,1,1,1,0,0,0,0,1,0,1,1,0,1
democrat,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,0
democrat,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,1
republican,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,1
republican,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,0,1,0,1,1,1,0,0,0,0,1,1,0,1,0,0
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,1,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1
democrat,1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1
democrat,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1,0
democrat,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0
republican,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1
democrat,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1
democrat,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1
republican,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0
republican,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1
democrat,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1
democrat,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0
republican,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0
republican,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1
democrat,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1
republican,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
republican,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1
democrat,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1
democrat,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1
democrat,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1
republican,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1
democrat,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1
democrat,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1
democrat,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1
democrat,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1
republican,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1
republican,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1
democrat,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
